"id","name","source_from","source_id","ip_id","policies","licenses","image_url"
cltzf9fp80000hc1n37k580oj,The Wonderful Wizard of Oz,book,b88f1260-fba2-4480-9f20-9688d752519f,"0x4c81d1fe390f23bde51653a43eb01b58693ae52c",,,https://arweave.net/0HfVIMMO3Ml-Vv3DbWOuM7O22yTZzRp7bcrX5MaNhnk
cltzf9fp80001hc1ng5c1fc5k,A Christmas Carol in Prose; Being a Ghost Story of Christmas,book,"2e404f55-0ab2-4c91-9cd1-1324aac099da","0x6a679938bebf89b02a7663b02fa02c78d782f52d",,,https://arweave.net/tXizmIrUbp8iq0jqkGmTInSIQFh8n7yN8K2beWWNM10
cltzf9fp90002hc1ncqa580ym,Peter Pan,book,f21b8ec8-9392-4e02-a081-91b892c44fb4,"0xc1d870fCAC330295c28d00aeE0c0F7212b03bCf1",,,https://arweave.net/MOPj8lnAwiLJp-dw_q_l8OSiBSW0g9CL1joP1zc-Ag8
cltzf9fp90003hc1nht5a8832,The Jungle Book,book,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd","0x24EadF2f888d6b15902D45e9dE9605571Bc3803a",,,https://arweave.net/cKMVq-7Fxl6Dhl91NRcPFnmtj-qiekM05IthT8XupUo
cltzf9fp90004hc1n1v7why1t,Dracula,book,"87c992b2-b3a8-4494-ad1e-b47aaf072765","0xbadc88fd2781eebb77b35a6790b461c178cffb16",,,https://arweave.net/MGzT4bxEELNLs7OPawBT4LZnnjXZousOGakPI1bW9pw
cltzf9fp90005hc1nh8bkeu59,The Age of Innocence,book,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,"0x385522c29b4cA53a8e660eEFFb867e0001122145",,,https://arweave.net/AFPA_oJwXr9u_xcMEVtSEtYGAD3SkeinFT8fpUXNEbQ
cltzf9fp90006hc1n7e9t6fhk,Adventures of Huckleberry Finn,book,"6c71b213-b704-4b44-ae54-050f16d74c67","0x982d40365eabd365c69bd283a937dc2bd97d7f58",,,https://arweave.net/fdifooSB_Jp7cww5Kxp5fyfyk1UWeehXzpZQ-n83HGA
cltzf9fp90007hc1n76rccqn6,Alice's Adventures in Wonderland,book,"52b20f63-7dbe-4770-a5be-855e0987bf65","0x706486cc40445f43f54847deda550492969f2795",,,https://arweave.net/OIpH-MY1IsBhAZ8H-eI4F2OhWNawc2Nh3kvrLisniJ0
cltzf9fpa0008hc1nez18getj,"Frankenstein; Or, The Modern Prometheus",book,"487a0b3b-ad79-4eaf-ba90-a43378fb6031","0x068115a83a1153Ed94a3aaf96BC6a9FDF9D980Ce",,,https://arweave.net/73OclxxkHclFotTpqy0VlMDE-s3fMfdWlf-SvPVjbg8
cltzf9fpa0009hc1ngghddzoc,Pride and Prejudice,book,"724e93a0-e3d1-4555-81ce-e98bd63f19f3","0x7982fa0036d782b57e438e6949fcf335ee228354",,,https://arweave.net/MvPvZ0sWSMknesfE3ES0PbCqDqjZge_KVXYBtPk7_E0
cltzgs3im0000dr1nfsgzeymc,Bob,character,cltzfwl670000071nczd92bwd,"0x5e82E9C4901eEB5133De79A1D074e867A67281Fe",,,https://arweave.net/ZurUUvZtB0GLav_UyeCYszXUmUEhlrXGn2ojaR3sEMY
cltzgs3in0001dr1nc0nlg7m1,Cratchit,character,cltzfwl680001071nfcnx175d,"0x95E014E676cba179211C0d5de059C02D93317723",,,https://arweave.net/2PQ29wEsMaPmotNwnD0Ed8IdWuh1PJaYx29wm6hnGh4
cltzgs3in0002dr1nbn775h9t,Cratchits,character,cltzfwl680002071n5nwy93ik,"0x633C4a13eBA0113F0d511D01e37D55a75EeBcEaB",,,https://arweave.net/kQJlGDZvBsWTm0gsCInFE2U7DbvldkVRhx_4scQSJB0
cltzgs3in0003dr1n0ulf5ocy,Fezziwig,character,cltzfwl680003071nhggzfhbl,"0x68CBd9412a3994AC03d5ca875c3E8eE7ca50AE0d",,,https://arweave.net/0339MaC0XrFyxM8VsVJrtXa9lMQ5QuX3qy3y5cmaoos
cltzgs3io0004dr1n250c9dt8,Joe,character,cltzfwl680004071nhmkj7mvk,"0xDDbFB38AD71D395e422Dd7534e7A394842410f12",,,https://arweave.net/oKqRSoHmBzc9-Dkj40Sl1mMi8ADHhK8_PsWdPUZKUEg
cltzgs3io0005dr1n9hs1a5ca,Marley,character,cltzfwl680005071n5p0u246q,"0x593bc7085d4BE5E3F548AE27E25196EE29C03154",,,https://arweave.net/t5iBOZqF5XHMfpKKIbvCv1clGmBKBco71Wz4UxB3T5I
cltzgs3io0006dr1ncyrrbogd,Peter,character,cltzfwl680006071n3a6pdfmy,"0x84526FAf1809C7AC11397Da5bA80ca6f3d4B1727",,,https://arweave.net/Y3Ks3P7nkE6TZihmNxICZ3-TF_hd-QKpS0S5lFWtfng
